Answer,read including very short notes or instructions that are only a few sentences long,read forms,read bills or financial statements,read instruction,read books,read reports,size of the longest document that you read,fill out bills or forms,write very short notes lists instructions that are only a few sentences long,what is the longest document that you write wrote,MEASURE OR ESTIMATE SIZES WEIGHTS DISTANCES,CALCULATE PRICES COSTS,PERFORM ANY OTHER MULTIPLICATION OR DIVISION,USE OR CALCULATE FRACTIONS DECIMALS PERCENTAGES,physically demanding,co-operating or collaborating with co-workers,lift or pull anything weighing at least 25 kilos,repair maintain electronic equipment,carrying out short  repetitive tasks,direct and check the work of other workers supervise,"use A TELEPHONE, MOBILE PHONE, PAGER OR OTHER COMMUNICATION DEVICE",freedom to decide how to do your work in your own way rather than following a fixed procedure or a supervisor's instructions,USE MORE ADVANCED MATH ALGEBRA GEOMETRY TRIGONOMETRY,,,,,
Provide information to coworkers.,0.0259193,0.1558988,0.1409192,0.1595208,0.0507047,0.2223843,0.051573,0.1318166,0.01886,-0.0281506,0.0029042,0.0279407,0.020637,0.0555023,0.0757234,0.4903562,0.0761047,0.0202366,0.1929647,0.3539491,0.1106311,0.1021192,0.0230504,,,,,
Confer with coworkers to coordinate maintenance or cleaning activities.,0.079286,-0.017441,0.1580494,0.0103499,0.0114004,0.0280395,-0.0411395,0.1414047,-0.0154669,-0.0714052,0.1167544,-0.0461355,0.1333197,0.1566613,0.0084701,0.5909389,0.1513068,0.1380456,0.189268,0.3544141,0.1725489,0.2914825,0.0361919,,,,,
Operate heavy-duty construction or installation equipment.,0.0685143,-0.0450013,0.1779206,-0.0042476,0.0108944,-0.0126429,-0.0007899,0.167566,-0.0391619,-0.0229105,0.2965379,-0.0348059,0.2088747,0.1784605,0.0740755,0.2480474,0.4122076,0.1995509,0.0549561,0.0813086,0.2077714,0.144103,0.0505502,,,,,
Repair electrical circuits or wiring.,0.108388,-0.0398785,0.2607398,0.0438164,0.0616329,0.0061485,-0.0886924,0.191011,0.0070083,-0.0709294,0.1366448,-0.0015757,0.1881692,0.1413963,-0.0369251,0.1248995,0.1600118,0.4902789,0.1417976,0.092195,0.1450186,0.118638,0.0156083,,,,,
Repair electrical equipment.,-0.0768676,-0.0399215,0.0296347,0.0191457,0.0362372,-0.0047382,-0.0804589,-0.0099104,-0.0724735,-0.0562426,0.0039411,0.0169334,0.0371688,-0.0335653,0.0493528,-0.0335176,0.0153291,0.7760703,0.1049519,-0.0106049,0.0145371,-0.0120778,-0.0244467,,,,,
Analyze shipping information to make routing decisions.,0.0225471,0.0402942,0.0901368,0.0609185,0.032682,0.0968011,0.0224782,0.0220043,0.0321117,-0.0308989,0.113385,0.0107674,0.0576065,0.029569,-0.0315369,-0.0120761,0.0884142,0.0961926,0.075065,0.0674101,0.0412847,0.2392059,0.0179108,,,,,
Supervise maintenance workers.,-0.028513,0.1194828,0.096213,0.1466602,0.1182649,0.1561938,-0.0194844,0.0240074,-0.0382014,-0.0456082,0.031193,0.0456615,0.0435187,-0.0035443,0.1302198,0.1961855,0.0145622,0.3339949,0.1311734,0.4197653,-0.0395058,0.1139103,-0.008912,,,,,
Direct activities of subordinates.,0.0607601,0.1102111,0.0993414,0.1598559,0.0510619,0.0894129,0.0199503,0.1184326,0.0654141,-0.0077489,0.0645506,0.0687894,0.117007,0.0879327,0.096152,0.2011176,0.0495539,-0.0003146,0.3151761,0.3786725,0.0370172,0.1495999,0.0509675,,,,,
"Document events or evidence, using photographic or audiovisual equipment.",0.083376,-0.0462059,0.1762758,-0.0218823,0.0168552,0.0940994,0.1189548,0.1582391,-0.0029728,0.1469693,0.1465022,-0.0563226,0.1118099,0.1696376,0.0574086,0.1241494,0.0976665,0.0792989,0.0302739,0.0435458,0.2732573,0.0539193,0.0926429,,,,,
Relay information about incidents or emergencies to personnel using phones or two-way radios.,0.1434589,0.0247732,0.1357891,0.0724371,0.0208488,0.1481228,0.0019176,0.0532667,0.0515576,-0.0320453,0.0977597,-0.083925,0.0450521,0.1249321,-0.0130347,0.1872216,0.0466628,0.0822349,0.1214172,0.1513222,0.3880575,0.0999311,0.0259027,,,,,
Direct activities of subordinates.,0.0607601,0.1102111,0.0993414,0.1598559,0.0510619,0.0894129,0.0199503,0.1184326,0.0654141,-0.0077489,0.0645506,0.0687894,0.117007,0.0879327,0.096152,0.2011176,0.0495539,-0.0003146,0.3151761,0.3786725,0.0370172,0.1495999,0.0509675,,,,,
Verify mathematical calculations.,-0.0261286,0.1127603,0.3301156,0.0591686,0.1074789,0.109059,0.036935,0.2439436,-0.0353638,-0.0233375,0.1874025,0.3916821,0.148969,0.3914759,0.062282,0.0366427,0.0840448,0.0701296,0.0632311,0.1908125,0.0472555,-0.0030679,0.4171098,,,,,
Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields.,0.0690051,-0.0299547,0.1870512,-0.0208421,0.0057297,0.007667,-0.0548227,0.141667,-0.0146071,-0.0807741,0.1426505,0.1829219,0.1186211,0.3966755,0.034952,0.1209815,0.1414028,0.0118171,0.0412752,-0.0606865,0.1546517,0.1202073,0.3451857,,,,,
Apply mathematical models of financial or business conditions,0.049226,0.171676,0.4350668,-0.02246,-0.0024775,0.0240685,0.0358926,0.3478905,-0.0162202,-0.0154784,0.1851431,0.2856507,0.2388499,0.4046188,0.0949189,0.1262419,0.0872054,0.0569995,0.0394735,-0.0147686,0.1479036,0.0842895,0.3549167,,,,,
Review art or design materials.,0.1334247,0.0738553,0.2727654,0.0294091,0.1013093,0.0875387,0.060308,0.205009,0.0195564,0.043311,0.1636138,0.0086853,0.1265113,0.1203588,-0.0010825,0.1218289,0.1061762,0.0573331,0.0716398,0.1105218,0.1120437,0.0788556,0.0120197,,,,,
Study details of musical compositions.,0.1040046,0.0915745,0.1046773,0.0929423,0.0709876,0.0726523,0.0112293,0.0182008,0.0841864,0.0441817,0.0552575,0.0529165,0.0657515,0.0609265,0.021386,0.0301699,-0.0091799,0.0639348,0.0436786,-0.0174655,-0.0156161,-0.0851524,0.0215245,,,,,
Review production information to determine costume or makeup requirements.,0.0698541,-0.0807541,0.108568,-0.0962151,-0.1267412,-0.0565174,-0.0748722,0.1595744,0.0435676,-0.0026004,0.1790616,-0.0105309,0.1190054,0.1354217,0.1028397,0.049704,0.1653594,0.0192579,0.0320423,0.0866896,0.0342501,0.1865642,-0.0338062,,,,,
Study scripts to determine project requirements.,0.0589716,0.0746797,0.0941858,0.0747088,0.0756279,0.0649215,0.1035572,0.0333457,0.0885673,0.1197175,0.0751607,0.0249477,0.0412465,0.078578,0.1310556,-0.0211224,0.0029894,-0.0066298,0.0870872,0.0566587,-0.0376457,0.0607674,0.0588003,,,,,
Read materials to determine needed actions.,0.2273805,0.2747778,0.2782031,0.3314127,0.2853527,0.2871566,0.2119732,0.0932441,0.1603876,0.0356079,0.1244323,0.0447146,0.0855282,0.1172293,0.175832,0.0365427,0.0771216,0.0725984,0.2251011,0.1572929,0.0146929,0.1789266,0.0872156,,,,,
Read maps to determine routes.,0.1432764,0.2618908,0.2299024,0.3519186,0.2623041,0.2181454,0.1395368,0.0347034,0.0810945,-0.0235221,0.1346753,0.0519826,0.0592338,0.1193605,-0.0754641,-0.0263529,0.0127888,-0.0284556,0.0858127,0.111025,0.0160333,0.1450565,0.0866337,,,,,
Review customer information.,-0.000566,0.1574963,0.1473224,0.1934233,0.0768697,0.2497963,0.0331184,0.016721,-0.0338728,-0.0561965,0.0467076,0.0414288,-0.0696614,-0.0351573,0.0422878,-0.0245976,-0.0506061,0.0682191,0.017699,0.0829016,-0.022413,-0.0869133,-0.0587146,,,,,
Read work orders or other instructions to determine product specifications or materials requirements.,0.3295742,0.1163976,0.2452645,0.3038093,0.1434457,0.1319495,0.1145123,0.1025472,0.2284351,0.02674,0.1494002,-0.0289832,0.1981897,0.1235065,0.0765619,0.0703349,0.1448305,-0.001484,0.0995868,0.2440273,0.1184441,0.3096498,0.0782681,,,,,
Read technical information needed to perform maintenance or repairs.,0.2422762,0.1310423,0.3002266,0.241113,0.1869043,0.1904593,0.0497537,0.1263743,0.0812663,-0.0162869,0.0865652,-0.0746602,0.114053,0.082799,0.052711,0.1406606,0.1450506,0.4381542,0.1506368,0.1130031,0.0810096,0.1952158,-0.0071236,,,,,
Study blueprints or other instructions to determine equipment setup requirements.,0.2143169,0.0191463,0.1663711,0.1976288,0.0615765,-0.0025732,0.0224038,0.1280593,0.1426825,0.004012,0.1895867,-0.0326022,0.2496184,0.1397249,0.0616992,0.0148698,0.1890574,0.1020564,-0.0210573,0.1763542,0.180887,0.2375991,0.1265849,,,,,
Read documents to gather technical information.,0.2510824,0.2962252,0.2903972,0.3523069,0.3457252,0.3272043,0.4005218,0.1185304,0.1787224,0.2189196,0.0111468,-0.0502192,0.0212526,0.0072586,0.0158853,0.0553657,0.0277549,0.1098837,0.1273042,0.0882606,0.0025982,0.0212515,0.0173198,,,,,
Review technical documents to plan work.,0.0873355,0.0573179,0.1450725,0.037905,0.0794819,0.0839682,0.2131764,0.1059988,0.1334637,0.205186,0.0639972,-0.0672309,0.0272674,0.0006014,-0.0270323,0.1336503,0.0424354,0.0830957,0.2208714,0.2291039,-0.0324207,0.1425455,0.0024914,,,,,
Review blueprints or specifications to determine work requirements.,0.1894025,0.0239573,0.2386054,0.026229,-0.0062479,0.021585,0.0499949,0.2022051,0.1109178,0.0518086,0.2290082,-0.022058,0.1899649,0.1615635,0.108192,0.1793847,0.1937365,0.0216815,0.142799,0.2208705,0.0358348,0.2891221,0.0312746,,,,,
Review work orders or schedules to determine operations or procedures.,0.1659318,0.0029869,0.2609312,0.0599328,0.0064995,0.0212079,-0.0117512,0.2154067,0.0943523,0.040096,0.2047564,-0.0154266,0.1509304,0.2026305,-0.0706997,0.2495149,0.1458375,-0.0018776,0.2524762,0.273699,0.0686167,0.4955227,0.0127579,,,,,
Review blueprints or other instructions to determine operational methods or sequences.,0.2513399,-0.0054962,0.191967,0.1712108,0.0044073,-0.0126873,-0.0241683,0.1326789,0.179806,0.0048475,0.1978961,-0.0144264,0.2920956,0.2279022,-0.118072,0.1452858,0.1583184,-0.0445714,0.1598393,0.310293,0.1751302,0.4557062,0.1427757,,,,,
Evaluate reports or designs to determine work needs.,0.1069353,0.0382735,0.2923265,-0.0127448,0.0123568,0.2707706,0.0453607,0.2270676,0.0379659,0.0194302,0.1895793,-0.0726177,0.1306063,0.1501515,0.0756215,0.2274309,0.1631919,0.0206338,0.1791725,0.1984205,0.1143245,0.2543142,0.0233331,,,,,
Read work orders or descriptions of problems to determine repairs or modifications needed.,0.3064303,0.1214891,0.301583,0.2518596,0.1660951,0.1538302,0.0934122,0.1459866,0.1627198,0.0294813,0.1090625,-0.0555847,0.1607291,0.1440488,0.0248424,0.1524977,0.1053879,0.2285966,0.1785716,0.1475868,0.0224225,0.3234314,0.0248488,,,,,
"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",0.1826793,0.0894589,0.1565905,0.0718071,-0.0259674,0.0626902,-0.0478259,0.2135295,0.0965087,0.0163238,0.057082,-0.037417,0.0978844,0.1092156,-0.0606958,0.1393066,0.1637688,-0.0108127,0.0815724,0.0216872,0.1432516,0.1768646,0.0161769,,,,,
Review details of technical drawings or specifications.,0.2459275,0.0261361,0.256225,0.0776273,-0.0087703,0.0332462,0.0175967,0.2053012,0.126662,0.0406056,0.1708133,-0.0053466,0.1767074,0.1360703,0.0212301,0.0569435,0.1305857,0.0906818,0.0343047,0.0627128,0.0772475,0.0986999,0.0374305,,,,,
Read work orders to determine material or setup requirements.,0.2770278,0.1573302,0.3138084,0.2509151,0.1787479,0.1577145,0.1576647,0.1755517,0.1424788,0.0394858,0.181762,-0.0251348,0.1224742,0.14351,0.1217617,0.1614498,0.1679935,0.0351722,0.1326221,0.184381,0.0659392,0.308494,0.0361601,,,,,
Collect evidence for legal proceedings.,0.0525827,0.1387851,0.2174705,0.0921377,0.0751247,0.2446055,0.0980205,0.1984451,0.0687319,0.0818445,0.0798728,0.0059843,0.0872135,0.0688948,0.1214274,0.0308466,0.0203731,0.034547,0.1983029,0.1708906,0.0119056,0.0885903,0.0725612,,,,,
Examine crime scenes to obtain evidence.,0.0322477,0.0984101,0.1690577,0.0663038,0.09139,0.2262881,0.0813205,0.0728584,0.0277931,0.040521,0.0942493,-0.0096995,0.0398991,0.0725771,0.0706502,-0.0114446,0.0092641,-0.0778919,0.0897096,0.2186616,-0.0004278,-0.0165059,0.030577,,,,,
Investigate crimes committed within organizations.,-0.0250785,0.0591588,0.0814066,-0.0037472,0.0483271,0.1084762,0.0076181,0.0585892,-0.0276557,-0.0248217,0.0028401,0.0005934,0.0078039,0.0029787,0.1061232,0.0666077,-0.0414268,-0.0937355,0.1092699,0.1660813,-0.0304719,-0.0318799,-0.0086356,,,,,
Investigate legal issues.,-0.0063518,0.1475075,0.2204306,0.0851135,0.1059868,0.2101042,0.0406625,0.1411776,-0.0359804,-0.0138046,0.0609194,0.095313,0.0786419,0.0604985,0.1838473,0.0289017,0.0211241,0.0552553,0.1279285,0.1703907,0.0434857,-0.0653718,0.0954434,,,,,
Examine records or other types of data to investigate criminal activities.,0.0859354,0.0938391,0.2031631,-0.0349258,0.0054769,0.1148395,0.0458198,0.1958597,0.0498256,0.0415732,0.1309473,-0.0476088,0.1955089,0.0743541,-0.0015559,0.1094426,0.1519019,-0.0159332,0.1325247,0.3311187,0.1912526,0.1162909,0.0620936,,,,,
Conduct hearings to investigate legal issues.,0.0486926,0.1321123,0.2241172,0.0845091,0.0898562,0.1889124,0.0378849,0.1129462,0.023983,-0.0489207,0.0870976,-0.0067518,0.0559366,0.0601049,0.1472978,0.0425429,0.0120361,0.025546,0.1405108,0.2414242,0.0357589,0.0400155,0.0564798,,,,,
Investigate illegal or suspicious activities.,0.1121696,0.0606571,0.302421,0.0284819,0.0536428,0.1222074,0.0041542,0.2768478,-0.0175952,-0.0175697,0.1952756,-0.020498,0.1921654,0.1898549,0.0680177,0.2331221,0.2322586,-0.0255971,0.2041934,0.2873034,0.2212377,0.1417525,0.0724007,,,,,
Obtain property information.,0.0050962,0.1629737,0.0953109,0.152546,0.0192617,0.1766987,0.0076826,0.134875,0.0141786,-0.0056043,0.002388,0.0545701,0.0395345,-0.0112946,0.1269864,-0.0309099,0.0211804,0.0562507,0.0396292,0.0347473,0.0259911,-0.0641148,-0.004126,,,,,
Use databases to locate investigation details or other information.,0.1038261,-0.0001923,0.1854884,0.0057951,-0.0158965,0.0620285,-0.0429268,0.1399504,0.0038323,-0.0751009,0.1059523,-0.0362367,0.1930861,0.2151639,0.0215058,0.1544465,0.1884348,0.0290834,0.0740117,0.1913349,0.3149937,0.0635688,0.1768924,,,,,
Search information sources to find specific data.,0.0364635,0.0389542,0.0694605,0.0422464,0.0573747,0.1038182,0.0665327,0.0161736,0.0224025,0.0122589,0.0057247,0.0167036,-0.0056075,0.025211,0.0205866,-0.0077936,0.0036671,0.0006911,0.0452977,0.0294097,0.0112235,-0.0266052,0.0120377,,,,,
Gather financial records.,0.0111251,0.1308565,0.5121845,0.0652634,0.1096982,0.2275442,0.1139752,0.2995491,0.0605981,0.1041516,0.0378675,0.1903101,0.0045457,0.088468,0.0248985,0.0700157,-0.0091728,0.0414829,0.1220649,0.0198806,-0.0443231,-0.12802,0.0847193,,,,,
Retrieve information from electronic sources.,0.0139883,0.0875457,0.1177185,0.0839221,0.08063,0.1676536,0.1108369,0.0773201,0.0039292,0.0284998,-0.0121924,-0.0555917,-0.0395713,0.0092448,0.0301921,0.0167629,-0.0327293,0.2972298,0.1032018,0.0473084,0.060864,-0.0359757,0.0236904,,,,,
Gather information in order to provide services to clients.,0.0014752,0.0573126,0.048207,0.0524921,0.0238166,0.0459491,-0.1003159,0.0369081,-0.0133785,-0.1746202,-0.0113602,-0.0241126,-0.0677521,0.0186273,0.0236607,0.0919005,0.0301861,0.0428453,0.0619802,0.0241174,0.0030668,-0.0120164,0.0264836,,,,,
"Search files, databases or reference materials to obtain needed information.",0.1572209,0.0005718,0.1790597,0.0609047,0.0237953,0.0859046,0.0997839,0.143716,0.0696141,0.0383319,0.0932724,0.0024464,0.0646229,0.0876979,0.1260956,0.0976763,0.1193473,0.074981,0.0450373,-0.0157145,0.1080716,0.0172484,0.010283,,,,,
Collect archival data.,-0.0359754,0.1353222,0.1098476,0.1265258,0.0975697,0.2024898,0.1957328,0.1285921,-0.0125301,0.1336775,-0.0223724,0.1710697,-0.0680971,0.0245199,0.0440663,0.0322016,-0.0123255,0.0795589,0.0825875,-0.0216208,-0.0365741,-0.083746,0.0142932,,,,,
Evaluate information related to legal matters in public or personal records.,0.1027154,0.0491473,0.2407913,-0.0557556,-0.0082388,0.1212872,0.0684504,0.2227795,0.0454056,0.0752246,0.1494464,-0.0303127,0.0961315,0.093912,-0.0059673,0.1610892,0.1418113,0.0058033,0.0293864,0.1268417,0.1342325,0.0852109,-0.0224253,,,,,
Research relevant legal materials to aid decision making.,0.034435,0.0289154,0.1022898,0.0133378,0.0443798,0.0661412,0.0510371,-0.0037513,0.0299055,0.0132387,0.0572786,0.0148899,0.0226355,0.0397181,0.0728663,0.0023751,0.0101645,0.1526202,0.0590855,0.0356864,0.0067588,0.0708379,0.0887534,,,,,
Gather organizational performance information.,-0.0111515,0.056791,0.0841171,0.0318359,-0.0374012,0.1078538,0.0142893,0.058579,0.0041988,-0.0101382,0.0089344,0.043686,0.0863981,0.0379797,0.0117062,0.2317252,0.0083778,-0.0921068,0.1509914,0.1060334,-0.0055458,0.0031135,-0.0169671,,,,,
Gather information about work conditions or locations.,0.1058543,0.0007007,0.1939991,0.0208205,-0.0370797,0.0483625,-0.0177876,0.1810209,0.0050235,-0.0193531,0.1676031,-0.0178148,0.1634968,0.1550246,0.0076528,0.3608093,0.1688881,0.0293714,0.1186582,0.2352164,0.1868371,0.2210793,0.0202706,,,,,
Gather physical survey data.,-0.0432232,0.136853,0.1483504,0.0485753,0.0458161,0.1785373,0.0399936,0.1203161,-0.0546359,-0.0394201,0.198459,0.1049043,0.0334557,0.1048313,0.3730323,0.108291,0.1741333,0.0137555,0.0574507,0.1256969,0.0462646,-0.0800327,0.0672407,,,,,
Collect data about project sites.,-0.0265086,0.0379456,0.0910912,0.0181405,0.0312834,0.1049057,0.0551558,0.0936511,-0.0116367,0.0051609,0.0420396,0.0338096,-0.0409323,0.048241,-0.0453438,0.0610011,0.0198002,-0.0040106,0.0693881,0.0392105,0.0104158,-0.0387374,-0.009863,,,,,
Obtain information about goods or services.,0.1710714,0.046485,0.2714413,0.0988716,0.0370521,0.1285035,-0.0881375,0.2154318,0.0596065,-0.1007568,0.1644022,-0.0154064,0.108054,0.1276595,0.0361948,0.1358707,0.2047377,0.120792,0.0879795,0.0810375,0.1686875,0.0882128,0.0099503,,,,,
Research hydrologic features or processes.,0.0887756,0.0172177,0.2067386,0.0056057,0.0421457,0.0758125,-0.0536706,0.1413391,-0.0139786,0.0110433,0.127041,0.0105922,0.2178047,0.1500755,0.077155,0.1417703,0.0700914,-0.0010049,0.0637616,0.0596786,0.0758279,0.17999,0.0155904,,,,,
Research geological features or processes.,0.0797138,0.0110517,0.1917732,-0.0123816,0.0137999,0.0768151,-0.0434131,0.1423041,-0.0027064,0.0309055,0.1498768,-0.001929,0.1897247,0.1440782,0.119563,0.1637799,0.0812317,-0.0184065,0.0661356,0.0589032,0.0340812,0.1764417,0.0726498,,,,,
Conduct climatological research.,-0.0263102,0.0833487,0.0498724,0.133496,0.0786645,0.1077736,-0.0168072,-0.0344978,-0.0279332,-0.0214698,0.0556041,0.0778106,0.0536656,0.0443817,0.1274076,0.0259485,-0.0463334,0.0030193,0.0475462,0.0750737,-0.0194422,0.0346076,0.0993194,,,,,
Conduct surveys in organizations.,0.0061933,0.1418706,0.1179368,0.1381659,0.0697402,0.1514232,-0.0059371,0.1003174,-0.0116163,-0.0626264,0.0637904,0.0316205,0.0714946,0.0736353,0.1618635,0.1574788,-0.0128832,-0.0824016,0.1731523,0.2700655,0.0143632,0.0958807,0.0414096,,,,,
Research industrial processes or operations.,0.0558159,0.0166066,0.2206959,0.0324867,0.0793984,0.0860505,-0.0141633,0.154953,-0.0690252,-0.0068705,0.1309388,0.0178616,0.168946,0.2005197,0.0616893,0.2370644,0.1123888,0.047375,0.1513359,0.1483258,0.1035375,0.2343183,0.0278351,,,,,
Conduct scientific research of organizational behavior or processes.,0.070623,0.0009848,0.1813128,0.0351159,0.035793,0.0716269,-0.0453335,0.1372465,-0.0352462,-0.0638074,0.0871778,-0.0347108,0.1425923,0.1343724,0.089793,0.2287483,0.0961643,-0.085592,0.1387509,0.1326195,0.0906113,0.311078,0.0161758,,,,,
Research impacts of environmental conservation initiatives.,-0.027615,0.0028026,0.0194298,-0.0047167,0.0186063,0.0371755,0.0118329,-0.0403745,-0.0444882,-0.0191116,0.0658677,0.0065121,0.063373,0.0236188,0.0320325,0.0286825,-0.0109227,0.051082,0.0328672,0.0726069,0.0141185,-0.0388314,0.0434814,,,,,
Research issues related to the environment or sustainable business practices.,0.1118365,-0.0094193,0.1830237,-0.0084202,0.0195989,0.0458611,0.0461186,0.0891871,-0.0029794,0.0385277,0.1220359,-0.0038746,0.1395812,0.1556934,0.0686113,0.2190386,0.1019612,0.0773419,0.0921382,0.0760195,0.1239507,0.1650014,0.0935911,,,,,
Investigate the environmental impact of projects.,0.0126707,0.0692856,0.1443516,0.0418226,0.0843728,0.1318384,0.0441799,0.0410745,-0.0256406,-0.0457571,0.0664914,0.0004162,0.0660356,0.0360545,0.0407978,0.0578777,-0.0100038,-0.0333702,0.0811804,0.1560216,0.0412424,-0.0390807,0.03247,,,,,
Monitor environmental impacts of production or development activities.,0.0505797,0.0615264,0.186891,-0.0173335,0.0028307,0.0960778,-0.0065671,0.1728327,-0.017725,-0.0341837,0.1373382,-0.0479099,0.1689101,0.1098275,-0.014779,0.1804442,0.1086691,-0.0095938,0.1235505,0.2328191,0.1127511,0.1433155,0.0122255,,,,,
Research environmental impact of industrial or development activities.,0.0395851,0.0654015,0.1387926,-0.0195307,0.0473457,0.0443876,0.0059974,0.13304,-0.0585386,-0.02597,0.0979461,-0.014524,0.1478923,0.1137069,0.0488346,0.143451,0.1168183,-0.0131874,0.0636932,0.0959451,0.119882,0.0455092,0.0425384,,,,,
Identify environmental concerns.,-0.0097015,0.0551838,0.0843799,0.0693324,-0.0028606,0.0892178,0.0046789,0.0480889,-0.0300516,-0.0221936,0.083324,0.0720913,0.0791554,0.087655,0.1539388,0.0368609,-0.0082088,-0.0177356,0.0655597,0.1152659,-0.0061704,-0.0100238,0.073288,,,,,
Evaluate environmental impact of operational or development activities.,0.07316,0.058522,0.1809144,0.0103337,0.0326323,0.0526011,0.0052771,0.164951,-0.0271567,-0.0306465,0.1518874,-0.0042691,0.1988692,0.1658791,-0.0024297,0.2513479,0.1535523,0.0361498,0.1769312,0.1649704,0.1491622,0.1913649,0.0383431,,,,,
Gather information for news stories.,0.090094,0.1801469,0.1956947,0.143147,0.1399542,0.3607838,0.0729112,0.1230684,0.088231,0.0181576,0.0689373,0.0191469,-0.0040609,0.0568261,-0.0254303,0.0946789,0.084214,-0.0137013,0.1262644,0.0111789,0.0816859,-0.0875655,0.0279149,,,,,
Gather medical information from patient histories.,0.0592948,0.0943657,0.1276136,0.0796654,0.062866,0.2123639,0.1369856,0.0757978,0.0786481,0.1058344,0.0885015,0.0084662,-0.0021785,0.0375937,0.027501,0.117929,0.0004708,0.0367193,0.1057293,0.0885559,0.0432999,-0.0314144,0.0284939,,,,,
