Element Name,IWA Title,DWA Title
Getting Information,Collect information about patients or clients.,Collect information about clients.
Getting Information,Research agricultural processes or practices.,Research livestock management methods.
Getting Information,Research agricultural processes or practices.,Research crop management methods.
Getting Information,Research agricultural processes or practices.,Research sustainable agricultural processes or practices.
Getting Information,Collect data about consumer needs or opinions.,Conduct market research.
Getting Information,Collect data about consumer needs or opinions.,Gather customer or product information to determine customer needs.
Getting Information,Collect data about consumer needs or opinions.,Obtain personal or financial information about customers or applicants.
Getting Information,Collect data about consumer needs or opinions.,Conduct opinion surveys or needs assessments.
Getting Information,Collect data about consumer needs or opinions.,Collect data about customer needs.
Getting Information,"Investigate individuals' background, behavior, or activities.",Observe individuals' activities to gather information or compile evidence.
Getting Information,"Investigate individuals' background, behavior, or activities.",Investigate personal characteristics or activities of individuals.
Getting Information,Research biological or ecological phenomena.,Research genetic characteristics or expression.
Getting Information,Research biological or ecological phenomena.,Research diseases or parasites.
Getting Information,Research biological or ecological phenomena.,Conduct research of processes in natural or industrial ecosystems.
Getting Information,Research biological or ecological phenomena.,Research microbiological or chemical processes or structures.
Getting Information,Research biological or ecological phenomena.,Classify organisms based on their characteristics or behavior.
Getting Information,Research biological or ecological phenomena.,Examine characteristics or behavior of living organisms.
Getting Information,Obtain formal documentation or authorization.,Obtain documentation to authorize activities.
Getting Information,Obtain formal documentation or authorization.,Obtain copyrights or other legal permissions.
Getting Information,Obtain formal documentation or authorization.,Obtain written authorization to perform activities.
Getting Information,Research historical or social issues.,Conduct anthropological or archaeological research.
Getting Information,Research historical or social issues.,Conduct historical research.
Getting Information,Research historical or social issues.,Conduct research on social issues.
Getting Information,Research historical or social issues.,Research social issues.
Getting Information,Research healthcare issues.,Conduct research to increase knowledge about medical issues.
Getting Information,Research healthcare issues.,Collect information about community health needs.
Getting Information,Research technology designs or applications.,Research engineering aspects of biological or chemical processes.
Getting Information,Research technology designs or applications.,Research engineering applications of emerging technologies.
Getting Information,Research technology designs or applications.,Research design or application of green technologies.
Getting Information,Research technology designs or applications.,Conduct research to gain information about products or processes.
Getting Information,Research technology designs or applications.,Research advanced engineering designs or applications.
Getting Information,Research technology designs or applications.,"Research energy production, use, or conservation."
Getting Information,Research technology designs or applications.,Research human performance or health factors related to engineering or design activities.
Getting Information,Research technology designs or applications.,Research new technologies.
Getting Information,Research technology designs or applications.,Research product safety.
Getting Information,Research technology designs or applications.,Research methods to improve food products.
Getting Information,Investigate incidents or accidents.,Investigate accidents to determine causes.
Getting Information,Investigate incidents or accidents.,Examine debris to obtain information about causes of fires.
Getting Information,Investigate incidents or accidents.,"Investigate transportation incidents, violations, or complaints."
Getting Information,Investigate incidents or accidents.,Investigate industrial or transportation accidents.
Getting Information,Investigate organizational or operational problems.,"Investigate system, equipment, or product failures."
Getting Information,Investigate organizational or operational problems.,Investigate work related complaints to determine corrective actions.
Getting Information,Investigate organizational or operational problems.,Investigate safety of work environment.
Getting Information,Interview people to obtain information.,"Interview employees, customers, or others to collect information."
Getting Information,Interview people to obtain information.,Interview others for news or entertainment purposes.
Getting Information,Interview people to obtain information.,Interview clients to gather financial information.
Getting Information,Interview people to obtain information.,Interview people to obtain information about actions or status of individuals.
Getting Information,Interview people to obtain information.,Interview people to gather information about criminal activities.
Getting Information,Interview people to obtain information.,Interview patients to gather medical information.
Getting Information,Interview people to obtain information.,Interview claimants to get information related to legal proceedings.
Getting Information,Interview people to obtain information.,"Interview clients to gather information about their backgrounds, needs, or progress."
Getting Information,Interview people to obtain information.,"Interview witnesses, suspects, or claimants."
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor broadcasting operations to ensure proper functioning.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor medical equipment to ensure proper functioning.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor engine operation or functioning.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor lubrication of equipment or workpieces.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor equipment operation to ensure proper functioning.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Observe equipment in operation to detect potential problems.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Watch operating equipment to detect malfunctions.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,"Monitor green energy equipment, systems, or facilities."
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Assess equipment functioning.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor equipment operation to ensure that products are not flawed.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor instruments to ensure proper production conditions.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor video displays of medical equipment to ensure proper functioning.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor equipment gauges or displays to ensure proper operation.
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor equipment fluid levels.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor industrial energy consumption or management.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor facilities or operational systems.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor operational quality or safety.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor extraction operations.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor organizational procedures to ensure proper functioning.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor construction operations.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor vehicle movement or location.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor recreational facility operations.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Inspect operational processes.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Track goods or materials.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor food services operations to ensure procedures are followed.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor loading processes to ensure they are performed properly.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor biofuel production operations.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Inspect cargo to ensure it is properly loaded or secured.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor the productivity or efficiency of industrial operations.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor operational procedures in technical environments to ensure conformance to standards.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Inspect operations of green energy facilities.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor conditions at energy-producing landfills.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor the handling of hazardous materials or medical wastes.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor organizational processes.
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor financial information.
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor financial activities.
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor sales activities.
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor flow of cash or other resources.
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor financial indicators.
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor business indicators.
"Monitor Processes, Materials, or Surroundings",Monitor traffic conditions.,Monitor traffic signals.
"Monitor Processes, Materials, or Surroundings",Monitor traffic conditions.,Time vehicle speed or traffic-control equipment operation.
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor patient progress or responses to treatments.
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor clients to evaluate treatment progress.
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor patients following surgeries or other treatments.
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor animal behavior or condition.
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor health or behavior of people or animals.
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor patients to detect health problems.
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,"Monitor patient conditions during treatments, procedures, or activities."
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor nutrition related activities of individuals or groups.
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Monitor performance of organizational members or partners.
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Monitor patron activities to identify problems or potential problems.
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Monitor student performance.
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Supervise school or student activities.
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Enforce rules or policies governing student behavior.
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Monitor activities of individuals to ensure safety or compliance with rules.
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,"Monitor student behavior, social development, or health."
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor environment to ensure safety.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor access or flow of people to prevent problems.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor building premises to ensure occupant or visitor safety.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Locate suspicious objects or vehicles.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Patrol properties to maintain safety.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor work areas to provide security.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Maintain surveillance of individuals or establishments.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor alarm systems.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor work areas or procedures to ensure compliance with safety procedures.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Locate fires or fire danger areas.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor surroundings to detect potential hazards.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Patrol natural areas to ensure safety or enforce regulations.
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor work environment to ensure safety or adherence to specifications.
"Monitor Processes, Materials, or Surroundings","Monitor external affairs, trends, or events.",Monitor market conditions or trends.
"Monitor Processes, Materials, or Surroundings","Monitor external affairs, trends, or events.",Monitor current trends.
"Monitor Processes, Materials, or Surroundings","Monitor external affairs, trends, or events.",Monitor external affairs or events affecting business operations.
"Monitor Processes, Materials, or Surroundings",Monitor environmental conditions.,Inspect landscaping to determine treatment needs.
"Monitor Processes, Materials, or Surroundings",Monitor environmental conditions.,Monitor environmental conditions to detect hazards.
"Monitor Processes, Materials, or Surroundings",Monitor environmental conditions.,Measure environmental characteristics.
"Monitor Processes, Materials, or Surroundings",Monitor environmental conditions.,Monitor activities affecting environmental quality.
"Monitor Processes, Materials, or Surroundings",Monitor environmental conditions.,Assess characteristics of fires.
"Monitor Processes, Materials, or Surroundings",Monitor environmental conditions.,Inspect condition of natural environments.
"Monitor Processes, Materials, or Surroundings",Monitor operation of computer or information technologies.,Monitor the security of digital information.
"Monitor Processes, Materials, or Surroundings",Monitor operation of computer or information technologies.,Monitor the performance of computer networks.
"Monitor Processes, Materials, or Surroundings",Monitor operation of computer or information technologies.,Monitor computer system performance to ensure proper operation.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure compliance with regulations or standards.,Identify actions needed to bring properties or facilities into compliance with regulations.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure compliance with regulations or standards.,Inspect products or operations to ensure that standards are met.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure compliance with regulations or standards.,Monitor operations to ensure compliance with safety or security policies or regulations.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure compliance with regulations or standards.,Monitor organizational compliance with regulations.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure compliance with regulations or standards.,Verify that medical activities or operations meet standards.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure compliance with regulations or standards.,Monitor processes for compliance with standards.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure compliance with regulations or standards.,Evaluate personnel practices to ensure adherence to regulations.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure compliance with regulations or standards.,Monitor operational activities to ensure compliance with regulations or standard operating procedures.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure compliance with regulations or standards.,Evaluate construction projects to determine compliance with external standards or regulations.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure compliance with regulations or standards.,Determine operational compliance with regulations or standards.
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure compliance with regulations or standards.,Monitor medical facility activities to ensure adherence to standards or regulations.
"Identifying Objects, Actions, and Events",Mark materials or objects for identification.,Apply identification labels or tags.
"Identifying Objects, Actions, and Events",Mark materials or objects for identification.,Mark agricultural or forestry products for identification.
"Identifying Objects, Actions, and Events",Mark materials or objects for identification.,Mark materials or objects for identification.
"Identifying Objects, Actions, and Events",Mark materials or objects for identification.,"Mark products, workpieces, or equipment with identifying information."
"Identifying Objects, Actions, and Events",Mark materials or objects for identification.,Label production materials.
"Identifying Objects, Actions, and Events",Mark materials or objects for identification.,"Attach identification information to products, items or containers."
"Identifying Objects, Actions, and Events",Identify business or organizational opportunities.,Identify opportunities for green initiatives.
"Identifying Objects, Actions, and Events",Identify business or organizational opportunities.,Identify potential customers.
"Identifying Objects, Actions, and Events",Identify business or organizational opportunities.,Identify investment opportunities or strategies.
"Identifying Objects, Actions, and Events",Identify business or organizational opportunities.,Identify strategic business investment opportunities.
"Identifying Objects, Actions, and Events",Identify business or organizational opportunities.,Identify new applications for existing technologies.
"Identifying Objects, Actions, and Events",Identify business or organizational opportunities.,Identify opportunities to improve operational efficiency.
"Identifying Objects, Actions, and Events",Identify business or organizational opportunities.,Identify sustainable business practices.
"Inspecting Equipment, Structures, or Material",Administer diagnostic tests to assess patient health.,Test patient heart or lung functioning.
"Inspecting Equipment, Structures, or Material",Administer diagnostic tests to assess patient health.,Administer screening tests to determine abilities or treatment needs.
"Inspecting Equipment, Structures, or Material",Administer diagnostic tests to assess patient health.,Test patient hearing.
"Inspecting Equipment, Structures, or Material",Administer diagnostic tests to assess patient health.,Test patient vision.
"Inspecting Equipment, Structures, or Material",Administer diagnostic tests to assess patient health.,Conduct diagnostic tests to determine patient health.
"Inspecting Equipment, Structures, or Material",Administer diagnostic tests to assess patient health.,Administer drug screening tests.
"Inspecting Equipment, Structures, or Material",Administer diagnostic tests to assess patient health.,Test patient nervous system functioning.
"Inspecting Equipment, Structures, or Material",Administer diagnostic tests to assess patient health.,Test biological specimens to gather information about patient conditions.
"Inspecting Equipment, Structures, or Material",Evaluate green technologies or processes.,Test green technologies or processes.
"Inspecting Equipment, Structures, or Material",Evaluate green technologies or processes.,Test green technology installations to verify performance.
"Inspecting Equipment, Structures, or Material",Test characteristics of materials or products.,"Test materials, solutions, or samples."
"Inspecting Equipment, Structures, or Material",Test characteristics of materials or products.,Test products for functionality or quality.
"Inspecting Equipment, Structures, or Material",Test characteristics of materials or products.,Analyze test results.
"Inspecting Equipment, Structures, or Material",Test characteristics of materials or products.,Test characteristics of materials or structures.
"Inspecting Equipment, Structures, or Material",Test characteristics of materials or products.,Test chemical or physical characteristics of materials or products.
"Inspecting Equipment, Structures, or Material",Test characteristics of materials or products.,Test fluids to identify contamination or other problems.
"Inspecting Equipment, Structures, or Material",Test characteristics of materials or products.,Test quality of materials or finished products.
"Inspecting Equipment, Structures, or Material",Inspect vehicles.,Inspect motor vehicles.
"Inspecting Equipment, Structures, or Material",Inspect vehicles.,Inspect mechanical components of vehicles to identify problems.
"Inspecting Equipment, Structures, or Material",Inspect vehicles.,Inspect vehicles to determine overall condition.
"Inspecting Equipment, Structures, or Material",Inspect vehicles.,Inspect locomotives or other railroad equipment.
"Inspecting Equipment, Structures, or Material",Inspect vehicles.,Inspect aircraft or aircraft components.
"Inspecting Equipment, Structures, or Material",Inspect vehicles.,Inspect structural components of vehicles to identify problems.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect work sites to determine condition or necessary repairs.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect work sites to identify potential environmental or safety hazards.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,"Inspect facilities, equipment or supplies to ensure conformance to standards."
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect cargo areas for cleanliness or condition.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect work environments to ensure safety.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Monitor cargo area conditions.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect facilities.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect facilities or equipment to ensure specifications are met.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect areas for compliance with sanitation standards.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect facilities to ensure compliance with fire regulations.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,"Inspect facilities to ensure compliance with safety, quality, or service standards."
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect facilities or sites to determine if they meet specifications or standards.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect facilities to ensure compliance with security or safety regulations.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect facilities for cleanliness.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect condition or functioning of facilities or equipment.
"Inspecting Equipment, Structures, or Material",Inspect facilities or equipment.,Inspect buildings or grounds to determine condition.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Verify alignment of structures or equipment.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect timing devices.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect finishes of workpieces or finished products.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Count finished products or workpieces.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,"Inspect metal, plastic, or composite products."
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect work to ensure standards are met.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect textile products.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect finished products to locate flaws.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Evaluate projects to determine compliance with technical specifications.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect medical or dental assistive devices.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect items for damage or defects.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Check quality of foods or supplies.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect food products.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect sets or exhibits.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect completed work to ensure proper functioning.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspected printed materials or other images to verify quality.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect completed work to ensure proper installation.
"Inspecting Equipment, Structures, or Material",Inspect completed work or finished products.,Inspect installed components or assemblies.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect equipment or tools to be used in construction or excavation.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect safety equipment to ensure proper functioning.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect systems to determine if they are operating properly.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect equipment or facilities to determine condition or maintenance needs.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect telecommunications equipment to identify problems.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect equipment to locate or identify electrical problems.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect material-moving equipment to detect problems.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect electrical or electronic systems for defects.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Conduct validation tests of equipment or processes.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect gas systems or components to identify leaks or other potential hazards.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect equipment or systems.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect plumbing systems or fixtures.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Locate equipment or materials in need of repair or replacement.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect equipment to ensure safety or proper functioning.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect production equipment.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect industrial or commercial equipment to ensure proper operation.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect sustainable energy production facilities or equipment.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect equipment to ensure proper functioning.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Inspect communications or broadcasting equipment.
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.","Inspect mechanical equipment to locate damage, defects, or wear."
"Inspecting Equipment, Structures, or Material","Inspect commercial, industrial, or production systems or equipment.",Examine medical instruments or equipment to ensure proper operation.
"Inspecting Equipment, Structures, or Material",Test performance of computer or information systems.,Test computer hardware performance.
"Inspecting Equipment, Structures, or Material",Test performance of computer or information systems.,Test computer system operations to ensure proper functioning.
"Inspecting Equipment, Structures, or Material",Test performance of computer or information systems.,Test software performance.
"Inspecting Equipment, Structures, or Material",Examine people or animals to assess health conditions or physical characteristics.,Check physical condition of people or animals.
"Inspecting Equipment, Structures, or Material",Examine people or animals to assess health conditions or physical characteristics.,"Examine animals to detect illness, injury or other problems."
"Inspecting Equipment, Structures, or Material",Examine people or animals to assess health conditions or physical characteristics.,Examine patients to assess general physical condition.
"Inspecting Equipment, Structures, or Material",Examine people or animals to assess health conditions or physical characteristics.,"Examine mouth, teeth, gums, or related facial structures."
"Inspecting Equipment, Structures, or Material",Examine people or animals to assess health conditions or physical characteristics.,Measure the physical or physiological attributes of patients.
