title,measure,dwa_id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
Study blueprints or other instructions to determine equipment setup requirements.,DWA from ONET,4.A.1.a.1.I02.D06,0.1428571,0,0,0.2672612,0,0,0,0,0.1428571,0,0,0,0,0
Read documents to gather technical information.,DWA from ONET,4.A.1.a.1.I02.D07,0.1690308,0.3162278,0.2236068,0.3162278,0.3162278,0.3162278,0.4472136,0,0,0.2236068,0,0,0,0
Review technical documents to plan work.,DWA from ONET,4.A.1.a.1.I02.D08,0,0,0,0,0,0,0.2236068,0,0,0.2236068,0,0,0,0
Review blueprints or specifications to determine work requirements.,DWA from ONET,4.A.1.a.1.I02.D09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Review work orders or schedules to determine operations or procedures.,DWA from ONET,4.A.1.a.1.I02.D10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Review blueprints or other instructions to determine operational methods or sequences.,DWA from ONET,4.A.1.a.1.I02.D11,0.1428571,0,0,0.2672612,0,0,0,0,0.1428571,0,0,0,0,0
Evaluate reports or designs to determine work needs.,DWA from ONET,4.A.1.a.1.I02.D12,0,0,0,0,0,0.2886751,0,0,0,0,0,0,0,0
Read work orders or descriptions of problems to determine repairs or modifications needed.,DWA from ONET,4.A.1.a.1.I02.D13,0.1259882,0.2357023,0.1666667,0.2357023,0.2357023,0.2357023,0.1666667,0,0,0,0,0,0,0
"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",DWA from ONET,4.A.1.a.1.I02.D14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Review details of technical drawings or specifications.,DWA from ONET,4.A.1.a.1.I02.D15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Read work orders to determine material or setup requirements.,DWA from ONET,4.A.1.a.1.I02.D16,0.1428571,0.2672612,0.1889822,0.2672612,0.2672612,0.2672612,0.1889822,0,0,0,0,0,0,0
Collect evidence for legal proceedings.,DWA from ONET,4.A.1.a.1.I03.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Examine crime scenes to obtain evidence.,DWA from ONET,4.A.1.a.1.I03.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigate crimes committed within organizations.,DWA from ONET,4.A.1.a.1.I03.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigate legal issues.,DWA from ONET,4.A.1.a.1.I03.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Examine records or other types of data to investigate criminal activities.,DWA from ONET,4.A.1.a.1.I03.D05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct hearings to investigate legal issues.,DWA from ONET,4.A.1.a.1.I03.D06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigate illegal or suspicious activities.,DWA from ONET,4.A.1.a.1.I03.D07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obtain property information.,DWA from ONET,4.A.1.a.1.I04.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use databases to locate investigation details or other information.,DWA from ONET,4.A.1.a.1.I04.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1825742
Search information sources to find specific data.,DWA from ONET,4.A.1.a.1.I04.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gather financial records.,DWA from ONET,4.A.1.a.1.I04.D04,0,0,0.2886751,0,0,0,0,0,0,0,0,0,0,0
Retrieve information from electronic sources.,DWA from ONET,4.A.1.a.1.I04.D05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gather information in order to provide services to clients.,DWA from ONET,4.A.1.a.1.I04.D06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Search files, databases or reference materials to obtain needed information.",DWA from ONET,4.A.1.a.1.I04.D07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collect archival data.,DWA from ONET,4.A.1.a.1.I04.D08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evaluate information related to legal matters in public or personal records.,DWA from ONET,4.A.1.a.1.I05.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research relevant legal materials to aid decision making.,DWA from ONET,4.A.1.a.1.I05.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gather organizational performance information.,DWA from ONET,4.A.1.a.1.I06.D01,0,0,0,0,0,0,0,0,0,0,0,0,0.2886751,0
Gather information about work conditions or locations.,DWA from ONET,4.A.1.a.1.I06.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gather physical survey data.,DWA from ONET,4.A.1.a.1.I06.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collect data about project sites.,DWA from ONET,4.A.1.a.1.I06.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obtain information about goods or services.,DWA from ONET,4.A.1.a.1.I07.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research hydrologic features or processes.,DWA from ONET,4.A.1.a.1.I08.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research geological features or processes.,DWA from ONET,4.A.1.a.1.I08.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct climatological research.,DWA from ONET,4.A.1.a.1.I08.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct surveys in organizations.,DWA from ONET,4.A.1.a.1.I09.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research industrial processes or operations.,DWA from ONET,4.A.1.a.1.I09.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct scientific research of organizational behavior or processes.,DWA from ONET,4.A.1.a.1.I09.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research impacts of environmental conservation initiatives.,DWA from ONET,4.A.1.a.1.I10.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research issues related to the environment or sustainable business practices.,DWA from ONET,4.A.1.a.1.I10.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigate the environmental impact of projects.,DWA from ONET,4.A.1.a.1.I10.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monitor environmental impacts of production or development activities.,DWA from ONET,4.A.1.a.1.I10.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research environmental impact of industrial or development activities.,DWA from ONET,4.A.1.a.1.I10.D05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Identify environmental concerns.,DWA from ONET,4.A.1.a.1.I10.D06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evaluate environmental impact of operational or development activities.,DWA from ONET,4.A.1.a.1.I10.D07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gather information for news stories.,DWA from ONET,4.A.1.a.1.I11.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gather medical information from patient histories.,DWA from ONET,4.A.1.a.1.I12.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collect medical information from patients, family members, or other medical professionals.",DWA from ONET,4.A.1.a.1.I12.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collect information from people through observation, interviews, or surveys.",DWA from ONET,4.A.1.a.1.I12.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collect information about clients.,DWA from ONET,4.A.1.a.1.I12.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research livestock management methods.,DWA from ONET,4.A.1.a.1.I13.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research crop management methods.,DWA from ONET,4.A.1.a.1.I13.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research sustainable agricultural processes or practices.,DWA from ONET,4.A.1.a.1.I13.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct market research.,DWA from ONET,4.A.1.a.1.I14.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gather customer or product information to determine customer needs.,DWA from ONET,4.A.1.a.1.I14.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obtain personal or financial information about customers or applicants.,DWA from ONET,4.A.1.a.1.I14.D03,0,0,0.2041242,0,0,0,0,0,0,0,0,0,0,0
Conduct opinion surveys or needs assessments.,DWA from ONET,4.A.1.a.1.I14.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collect data about customer needs.,DWA from ONET,4.A.1.a.1.I14.D05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Observe individuals' activities to gather information or compile evidence.,DWA from ONET,4.A.1.a.1.I15.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigate personal characteristics or activities of individuals.,DWA from ONET,4.A.1.a.1.I15.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research genetic characteristics or expression.,DWA from ONET,4.A.1.a.1.I16.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research diseases or parasites.,DWA from ONET,4.A.1.a.1.I16.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct research of processes in natural or industrial ecosystems.,DWA from ONET,4.A.1.a.1.I16.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research microbiological or chemical processes or structures.,DWA from ONET,4.A.1.a.1.I16.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classify organisms based on their characteristics or behavior.,DWA from ONET,4.A.1.a.1.I16.D05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Examine characteristics or behavior of living organisms.,DWA from ONET,4.A.1.a.1.I16.D06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obtain documentation to authorize activities.,DWA from ONET,4.A.1.a.1.I17.D01,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0
Obtain copyrights or other legal permissions.,DWA from ONET,4.A.1.a.1.I17.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obtain written authorization to perform activities.,DWA from ONET,4.A.1.a.1.I17.D03,0,0,0,0,0,0,0,0,0,0,0,0,0.2581989,0
Conduct anthropological or archaeological research.,DWA from ONET,4.A.1.a.1.I18.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct historical research.,DWA from ONET,4.A.1.a.1.I18.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct research on social issues.,DWA from ONET,4.A.1.a.1.I18.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research social issues.,DWA from ONET,4.A.1.a.1.I18.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct research to increase knowledge about medical issues.,DWA from ONET,4.A.1.a.1.I19.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collect information about community health needs.,DWA from ONET,4.A.1.a.1.I19.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research engineering aspects of biological or chemical processes.,DWA from ONET,4.A.1.a.1.I20.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research engineering applications of emerging technologies.,DWA from ONET,4.A.1.a.1.I20.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research design or application of green technologies.,DWA from ONET,4.A.1.a.1.I20.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct research to gain information about products or processes.,DWA from ONET,4.A.1.a.1.I20.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research advanced engineering designs or applications.,DWA from ONET,4.A.1.a.1.I20.D05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Research energy production, use, or conservation.",DWA from ONET,4.A.1.a.1.I20.D06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
